CMDLINE /Users/halverso/mambaforge/envs/ECOSTRESS/bin/python3.11 try_STARS_update.py
MEM 0.046875 1691181417.8536
MEM 35.515625 1691181417.9588
MEM 57.062500 1691181418.0640
MEM 87.062500 1691181418.1658
MEM 106.468750 1691181418.2705
MEM 127.687500 1691181418.3753
MEM 140.187500 1691181418.4787
MEM 157.093750 1691181418.5819
MEM 174.656250 1691181418.6871
MEM 190.218750 1691181418.7907
MEM 199.156250 1691181418.8956
MEM 201.484375 1691181418.9984
MEM 209.781250 1691181419.0987
MEM 224.390625 1691181419.2000
MEM 234.140625 1691181419.3045
MEM 293.531250 1691181419.4098
MEM 338.453125 1691181419.5150
MEM 338.453125 1691181419.6203
MEM 338.468750 1691181419.7239
MEM 338.468750 1691181419.8249
MEM 364.593750 1691181419.9301
MEM 563.546875 1691181420.0318
MEM 563.546875 1691181420.1370
MEM 569.468750 1691181420.2396
MEM 570.171875 1691181420.3448
MEM 575.125000 1691181420.4492
MEM 590.156250 1691181420.5545
MEM 590.156250 1691181420.6572
MEM 590.156250 1691181420.7624
MEM 590.156250 1691181420.8670
MEM 590.156250 1691181420.9706
MEM 613.781250 1691181421.0752
MEM 613.781250 1691181421.1804
MEM 616.140625 1691181421.2824
MEM 616.156250 1691181421.3876
MEM 620.328125 1691181421.4915
MEM 621.781250 1691181421.5965
MEM 623.625000 1691181421.6976
MEM 624.078125 1691181421.7994
MEM 625.609375 1691181421.9007
MEM 625.609375 1691181422.0058
MEM 625.609375 1691181422.1072
MEM 625.906250 1691181422.2124
MEM 627.281250 1691181422.3176
MEM 628.875000 1691181422.4227
MEM 630.250000 1691181422.5233
MEM 631.687500 1691181422.6246
MEM 632.375000 1691181422.7253
MEM 633.671875 1691181422.8298
MEM 635.078125 1691181422.9316
MEM 636.562500 1691181423.0369
MEM 638.156250 1691181423.1409
MEM 639.671875 1691181423.2465
MEM 641.234375 1691181423.3516
MEM 642.875000 1691181423.4568
MEM 644.390625 1691181423.5603
MEM 646.031250 1691181423.6655
MEM 647.562500 1691181423.7658
MEM 649.187500 1691181423.8710
MEM 650.718750 1691181423.9722
MEM 652.203125 1691181424.0763
MEM 653.843750 1691181424.1802
MEM 655.375000 1691181424.2828
MEM 656.921875 1691181424.3847
MEM 658.562500 1691181424.4899
MEM 660.093750 1691181424.5909
MEM 661.578125 1691181424.6919
MEM 663.203125 1691181424.7971
MEM 664.703125 1691181424.9009
MEM 666.187500 1691181425.0019
MEM 666.906250 1691181425.1049
MEM 668.390625 1691181425.2080
MEM 687.796875 1691181425.3131
MEM 688.421875 1691181425.4184
MEM 688.437500 1691181425.5214
MEM 688.453125 1691181425.6247
MEM 688.765625 1691181425.7275
MEM 688.921875 1691181425.8327
MEM 688.921875 1691181425.9332
MEM 689.625000 1691181426.0382
MEM 689.625000 1691181426.1434
MEM 689.625000 1691181426.2448
MEM 689.625000 1691181426.3501
MEM 689.625000 1691181426.4516
MEM 689.625000 1691181426.5560
MEM 689.609375 1691181426.6597
MEM 689.609375 1691181426.7624
MEM 689.609375 1691181426.8684
MEM 689.609375 1691181426.9722
MEM 689.609375 1691181427.0776
MEM 689.609375 1691181427.1823
MEM 689.609375 1691181427.2876
MEM 689.609375 1691181427.3928
MEM 689.609375 1691181427.4959
MEM 689.609375 1691181427.6018
MEM 689.609375 1691181427.7135
MEM 690.453125 1691181427.8139
MEM 690.468750 1691181427.9190
MEM 690.468750 1691181428.0241
MEM 690.468750 1691181428.1247
MEM 690.468750 1691181428.2333
MEM 690.468750 1691181428.3386
