CMDLINE python try_STARS_prefetched.py
MEM 1657.578125 1695338441.0584
MEM 1657.578125 1695338441.1602
MEM 1657.578125 1695338441.2628
MEM 1678.031250 1695338441.3634
MEM 1694.031250 1695338441.4686
MEM 1698.906250 1695338441.5706
MEM 1698.968750 1695338441.6758
MEM 1698.968750 1695338441.7810
MEM 1698.968750 1695338441.8862
MEM 1699.015625 1695338441.9913
MEM 1700.640625 1695338442.0965
MEM 1700.640625 1695338442.2017
MEM 1700.640625 1695338442.3069
MEM 1702.515625 1695338442.4121
MEM 1702.531250 1695338442.5173
MEM 1718.296875 1695338442.6224
MEM 1718.296875 1695338442.7276
MEM 1718.343750 1695338442.8282
MEM 1724.968750 1695338442.9334
MEM 1724.968750 1695338443.0386
MEM 1748.265625 1695338443.1437
MEM 1750.593750 1695338443.2466
MEM 1757.250000 1695338443.3509
MEM 1785.890625 1695338443.4560
MEM 1785.890625 1695338443.5606
MEM 1802.031250 1695338443.6622
MEM 1811.625000 1695338443.7674
MEM 1813.437500 1695338443.8725
MEM 1837.218750 1695338443.9777
MEM 1837.281250 1695338444.0816
MEM 1862.625000 1695338444.1868
MEM 1875.671875 1695338444.2871
MEM 1875.671875 1695338444.3918
MEM 1898.984375 1695338444.4970
MEM 1901.312500 1695338444.6021
MEM 1904.937500 1695338444.7073
MEM 1926.921875 1695338444.8125
MEM 1926.921875 1695338444.9178
MEM 1939.687500 1695338445.0230
MEM 1954.515625 1695338445.1277
MEM 1954.515625 1695338445.2316
MEM 1954.515625 1695338445.3368
MEM 2005.640625 1695338445.4386
MEM 2005.640625 1695338445.5438
MEM 2005.640625 1695338445.6489
MEM 2005.640625 1695338445.7517
MEM 2005.640625 1695338445.8525
MEM 2005.765625 1695338445.9552
MEM 2020.500000 1695338446.0603
MEM 2020.500000 1695338446.1618
MEM 2020.500000 1695338446.2669
MEM 2020.500000 1695338446.3676
MEM 2020.500000 1695338446.4728
MEM 2025.203125 1695338446.5780
MEM 2025.218750 1695338446.6812
MEM 2025.234375 1695338446.7858
MEM 2025.234375 1695338446.8909
MEM 2025.234375 1695338446.9938
MEM 2025.234375 1695338447.0950
MEM 2025.234375 1695338447.1956
MEM 2025.234375 1695338447.3008
MEM 2025.234375 1695338447.4060
MEM 2025.234375 1695338447.5096
MEM 2031.578125 1695338447.6109
MEM 2031.578125 1695338447.7159
MEM 2031.578125 1695338447.8211
MEM 2031.578125 1695338447.9227
MEM 2031.578125 1695338448.0232
MEM 2031.578125 1695338448.1284
MEM 2031.578125 1695338448.2287
MEM 2031.578125 1695338448.3316
MEM 2031.578125 1695338448.4339
MEM 2041.703125 1695338448.5348
MEM 2041.703125 1695338448.6400
MEM 2041.703125 1695338448.7452
MEM 2041.703125 1695338448.8472
MEM 2041.703125 1695338448.9476
MEM 2041.703125 1695338449.0481
MEM 2041.703125 1695338449.1511
MEM 2041.765625 1695338449.2563
MEM 2041.781250 1695338449.3615
MEM 2046.328125 1695338449.4628
MEM 2046.328125 1695338449.5680
MEM 2046.328125 1695338449.6732
MEM 2046.343750 1695338449.7784
MEM 2046.375000 1695338449.8836
MEM 2046.375000 1695338449.9858
MEM 2046.375000 1695338450.0866
MEM 2046.375000 1695338450.1918
MEM 2046.375000 1695338450.2970
MEM 2046.375000 1695338450.4021
MEM 2046.375000 1695338450.5025
MEM 2046.375000 1695338450.6077
MEM 2048.546875 1695338450.7129
MEM 2048.546875 1695338450.8180
MEM 2048.546875 1695338450.9231
MEM 2052.328125 1695338451.0244
MEM 2052.328125 1695338451.1296
MEM 2052.343750 1695338451.2314
MEM 2052.343750 1695338451.3321
MEM 2052.359375 1695338451.4372
MEM 2052.359375 1695338451.5389
MEM 2052.359375 1695338451.6440
MEM 2052.359375 1695338451.7463
MEM 2052.359375 1695338451.8515
MEM 2052.359375 1695338451.9537
MEM 2052.359375 1695338452.0588
MEM 2052.359375 1695338452.1640
MEM 2052.359375 1695338452.2674
MEM 2052.359375 1695338452.3726
MEM 2052.359375 1695338452.4777
MEM 2052.359375 1695338452.5829
MEM 2052.359375 1695338452.6856
MEM 2052.359375 1695338452.7871
MEM 2052.359375 1695338452.8923
MEM 2052.421875 1695338452.9975
MEM 2060.343750 1695338453.1027
MEM 2060.343750 1695338453.2034
MEM 2060.343750 1695338453.3064
MEM 2060.343750 1695338453.4116
MEM 2060.359375 1695338453.5145
MEM 2060.437500 1695338453.6151
MEM 2060.437500 1695338453.7196
MEM 2060.562500 1695338453.8238
MEM 2060.562500 1695338453.9242
MEM 2060.562500 1695338454.0263
MEM 2060.578125 1695338454.1295
MEM 2060.578125 1695338454.2347
MEM 2060.578125 1695338454.3398
MEM 2060.578125 1695338454.4444
MEM 2060.578125 1695338454.5450
MEM 2060.578125 1695338454.6502
MEM 2060.578125 1695338454.7509
MEM 2060.578125 1695338454.8560
MEM 2060.578125 1695338454.9612
MEM 2060.578125 1695338455.0653
MEM 2060.578125 1695338455.1705
MEM 2060.578125 1695338455.2711
MEM 2060.578125 1695338455.3716
MEM 2060.578125 1695338455.4761
MEM 2060.578125 1695338455.5813
MEM 2060.578125 1695338455.6824
MEM 2060.578125 1695338455.7840
MEM 2060.578125 1695338455.8878
MEM 2060.578125 1695338455.9930
